Province,ID,Postal_Code,Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Living_Area,Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_land,Number_of_frontages,Swimming_pool,Building_State,Surface_area_plot_land,Province_numeric,Type_of_property_numeric,Region,Region_Numeric
Brussels-Capital Region,20302074.0,1000,Brussel,APARTMENT,APARTMENT,330000.0,Not specified,2.0,76.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20274477.0,1000,Bruxelles,APARTMENT,APARTMENT,269000.0,Newly_Built,1.0,70.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20318916.0,1000,Brussel,HOUSE,HOUSE,1700000.0,Not specified,3.0,300.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20313403.0,1000,Bruxelles ville,APARTMENT,APARTMENT,235000.0,Not specified,1.0,70.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20323437.0,1000,Bruxelles ville,APARTMENT,APARTMENT,229000.0,Not specified,1.0,39.0,INSTALLED,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20299779.0,1000,Bruxelles,HOUSE,HOUSE,549000.0,Not specified,5.0,230.0,INSTALLED,2.0,1.0,0.0,35.0,0.0,395.0,0.0,3.0,0.0,JUST_RENOVATED,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20310465.0,1000,Bruxelles,HOUSE,APARTMENT_BLOCK,699000.0,Not specified,6.0,350.0,Does not specify,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,GOOD,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20316936.0,1000,Bruxelles,HOUSE,APARTMENT_BLOCK,599000.0,Not specified,0.0,350.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20315567.0,1000,Brussels,APARTMENT,APARTMENT,725000.0,Not specified,3.0,161.0,INSTALLED,1.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20308957.0,1000,Brussels,APARTMENT,APARTMENT,499000.0,Not specified,2.0,149.0,INSTALLED,1.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20246780.0,1000,Bruxelles,HOUSE,APARTMENT_BLOCK,549000.0,Not specified,8.0,350.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20285315.0,1000,Bruxelles,APARTMENT,APARTMENT,999000.0,Not specified,3.0,340.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20289421.0,1000,Bruxelles,HOUSE,HOUSE,518000.0,Not specified,3.0,200.0,INSTALLED,2.0,1.0,0.0,50.0,0.0,475.0,800.0,4.0,0.0,Does not specify,800.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20243096.0,1000,Bruxelles,APARTMENT,GROUND_FLOOR,328000.0,Not specified,1.0,82.0,HYPER_EQUIPPED,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20314356.0,1000,Bruxelles ville,HOUSE,APARTMENT_BLOCK,675000.0,Not specified,0.0,1042.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20313919.0,1000,Bruxelles,HOUSE,HOUSE,589000.0,Not specified,3.0,200.0,Does not specify,2.0,1.0,0.0,19.0,0.0,500.0,0.0,3.0,0.0,Does not specify,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20313918.0,1000,Bruxelles,HOUSE,APARTMENT_BLOCK,989000.0,Not specified,4.0,288.0,INSTALLED,2.0,1.0,0.0,25.0,0.0,130.0,296.0,2.0,0.0,AS_NEW,296.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20313745.0,1000,Bruxelles,HOUSE,HOUSE,520000.0,Not specified,5.0,210.0,USA_HYPER_EQUIPPED,2.0,1.0,1.0,0.0,0.0,40.0,0.0,2.0,1.0,AS_NEW,0.0,1,0,Brussels-Capital Region,1
Brussels-Capital Region,20313417.0,1000,Bruxelles,APARTMENT,DUPLEX,899000.0,Not specified,5.0,230.0,HYPER_EQUIPPED,2.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,10969649.0,1000,Brussel,APARTMENT,APARTMENT,209000.0,Not specified,1.0,51.0,Does not specify,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20312977.0,1000,Bruxelles,APARTMENT,DUPLEX,790000.0,Not specified,3.0,188.0,HYPER_EQUIPPED,2.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,11461181.0,1000,Bruxelles ville,APARTMENT,GROUND_FLOOR,212000.0,Under_Option,1.0,63.0,NOT_INSTALLED,2.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20209495.0,1000,Bruxelles,APARTMENT,APARTMENT,410000.0,Not specified,3.0,118.0,INSTALLED,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20159753.0,1000,Bruxelles,APARTMENT,PENTHOUSE,649000.0,Not specified,4.0,175.0,Does not specify,1.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20159746.0,1000,Bruxelles,APARTMENT,PENTHOUSE,689000.0,Not specified,4.0,175.0,Does not specify,1.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
Brussels-Capital Region,20312715.0,1000,Bruxelles,APARTMENT,APARTMENT,495000.0,Not specified,3.0,144.0,HYPER_EQUIPPED,2.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,Does not specify,0.0,1,1,Brussels-Capital Region,1
