NIS-code Region,Region_FR,Region_NL,Region_EN,NIS-code Municipaity,Postal code,Municipality_FR,Municipality_NL,Latitude,Longitude
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21004,1040,Bruxelles,Brussel,50.85500334,4.351221286
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21004,1050,Bruxelles,Brussel,50.85500334,4.351221286
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21009,1050,Ixelles,Elsene,50.822322371,4.377092965
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21013,1060,Saint-Gilles,Sint-Gillis,50.829485559,4.344655402
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21001,1070,Anderlecht,Anderlecht,50.828979358,4.292907136
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21012,1080,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,50.855231932,4.318459761
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21006,1140,Evere,Evere,50.870016237,4.408234688
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21019,1150,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,50.831101835,4.443088464
4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brussels-Capital Region,21016,1180,Uccle,Ukkel,50.789870188,4.361379077
3000,Région wallonne,Waalse Gewest,Walloon Region,25112,1301,Wavre,Waver,50.715805084,4.593244419
3000,Région wallonne,Waalse Gewest,Walloon Region,25050,1310,La Hulpe,Terhulpen,50.736296644,4.464835195
3000,Région wallonne,Waalse Gewest,Walloon Region,25043,1315,Incourt,Incourt,50.699106086,4.781475912
3000,Région wallonne,Waalse Gewest,Walloon Region,25072,1401,Nivelles,Nijvel,50.596982207,4.332197653
3000,Région wallonne,Waalse Gewest,Walloon Region,25110,1410,Waterloo,Waterloo,50.709764917,4.403521836
3000,Région wallonne,Waalse Gewest,Walloon Region,25123,1430,Rebecq,Rebecq,50.671496239,4.13038152
3000,Région wallonne,Waalse Gewest,Walloon Region,25124,1457,Walhain,Walhain,50.631212022,4.697275707
3000,Région wallonne,Waalse Gewest,Walloon Region,25044,1460,Ittre,Itter,50.642466426,4.257517458
3000,Région wallonne,Waalse Gewest,Walloon Region,25044,1461,Ittre,Itter,50.642466426,4.257517458
3000,Région wallonne,Waalse Gewest,Walloon Region,25031,1474,Genappe,Genepiën,50.610166318,4.456118929
,,,,23106,1540,Pajottegem,Pajottegem,,
,,,,23106,1541,Pajottegem,Pajottegem,,
2000,Région flamande,Vlaamse Gewest,Flemish Region,23003,1652,Beersel,Beersel,50.750401222,4.301852194
