Latitude,Longitude,Province,ID,Postal_Code,Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Living_Area,Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_land,Number_of_frontages,Swimming_pool,Building_State,Surface_area_plot_land,Province_numeric,Type_of_property_numeric,Region,Region_Numeric,Dist_Antwerpen,Dist_Leuven,Dist_Brugge,Dist_Gent,Dist_Hasselt,Dist_Wavre,Dist_Mons,Dist_Liège,Dist_Arlon,Dist_Namur,Dist_Brussels,Dist_Charleroi,Dist_nearest_city,Room_Space_Combined,Outside_area,Subtype_category
50.85500334,4.351221286,Brussels-Capital Region,20302074.0,1000.0,Brussel,APARTMENT,APARTMENT,330000.0,Not specified,2.0,76.0,1,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,152.0,0.0,4276
50.85500334,4.351221286,Brussels-Capital Region,20274477.0,1000.0,Bruxelles,APARTMENT,APARTMENT,269000.0,Newly_Built,1.0,70.0,1,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,70.0,0.0,4276
50.85500334,4.351221286,Brussels-Capital Region,20318916.0,1000.0,Brussel,HOUSE,HOUSE,1700000.0,Not specified,3.0,300.0,1,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,900.0,0.0,5119
50.85500334,4.351221286,Brussels-Capital Region,20313403.0,1000.0,Bruxelles ville,APARTMENT,APARTMENT,235000.0,Not specified,1.0,70.0,1,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,70.0,0.0,4276
50.85500334,4.351221286,Brussels-Capital Region,20323437.0,1000.0,Bruxelles ville,APARTMENT,APARTMENT,229000.0,Not specified,1.0,39.0,2,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,39.0,0.0,4276
50.85500334,4.351221286,Brussels-Capital Region,20299779.0,1000.0,Bruxelles,HOUSE,HOUSE,549000.0,Not specified,5.0,230.0,2,2.0,1.0,0.0,35.0,0.0,395.0,0.0,3.0,0.0,2,0.0,1.0,0.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,1150.0,430.0,5119
50.85500334,4.351221286,Brussels-Capital Region,20310465.0,1000.0,Bruxelles,HOUSE,APARTMENT_BLOCK,699000.0,Not specified,6.0,350.0,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2,0.0,1.0,0.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,2100.0,0.0,339
50.85500334,4.351221286,Brussels-Capital Region,20316936.0,1000.0,Bruxelles,HOUSE,APARTMENT_BLOCK,599000.0,Not specified,1.0,350.0,1,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,350.0,0.0,339
50.85500334,4.351221286,Brussels-Capital Region,20315567.0,1000.0,Brussels,APARTMENT,APARTMENT,725000.0,Not specified,3.0,161.0,2,1.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,483.0,15.0,4276
50.85500334,4.351221286,Brussels-Capital Region,20308957.0,1000.0,Brussels,APARTMENT,APARTMENT,499000.0,Not specified,2.0,149.0,2,1.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,Brussels-Capital Region,1,40.68,24.66,88.08,49.62,69.68,23.86,52.53,90.01,166.79,56.45,0.52,49.78,0.52,298.0,10.0,4276
